city,region,country,rank_display,institution,location code,size,focus,research,status,ar_score,er_score,fsr_score,cpf_score,ifr_score,isr_score,irn_score,ger_score,sus_score,overall_score,year,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,check_city,longitude,latitude
Cambridge,North America,United States,1,Massachusetts Institute of Technology (MIT) ,US,M,CO,VH,B,100,100,100,100,100,88.2,94.3,100,95.2,100,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-71.09673492,42.36009097
Cambridge,Europe,United Kingdom,2,University of Cambridge,UK,L,FC,VH,A,100,100,100,92.3,100,95.8,99.9,100,97.3,99.2,2024,69.2,44.3,57.4,64,69.7,103.9,yes,0.111920724,52.20021695
Oxford,Europe,United Kingdom,3,University of Oxford,UK,L,FC,VH,A,100,100,100,90.6,98.2,98.2,100,100,97.8,98.9,2024,72.6,45.6,59.8,69.1,64.2,82,yes,-1.256941723,51.7548163
Cambridge,North America,United States,4,Harvard University,US,L,FC,VH,B,100,100,98.3,100,84.6,66.8,100,100,96.7,98.3,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-71.12081722,42.37464067
Stanford,North America,United States,5,Stanford University,US,L,FC,VH,B,100,100,100,99.9,99.9,51.2,95.8,100,94.4,98.1,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-122.1726349,37.42765997
London,Europe,United Kingdom,6,Imperial College London,UK,L,FC,VH,A,98.3,99.4,98.5,94,100,100,96.7,83,94.4,97.8,2024,80.1,71.6,76.1,64.2,79.7,83,yes,-0.177448423,51.498822
Zurich,Europe,Switzerland,7,ETH Zurich - Swiss Federal Institute of Technology,CH,L,FO,VH,A,98.8,83.6,72.1,98.9,100,98.5,96,79.1,88.4,93.3,2024,118.3,64.4,92.7,121,109,132.7,yes,8.545053076,47.37638887
Singapore,Asia,Singapore,8,National University of Singapore (NUS),SG,XL,FC,VH,A,99.4,88.6,76.5,93.2,100,81.9,76.3,100,88.1,92.7,2024,81.9,71.9,77.1,75,55.3,103,yes,103.773819,1.296642598
London,Europe,United Kingdom,9,UCL,UK,XL,FC,VH,A,99.5,97.9,98.4,74.3,99.1,100,100,51.6,92.5,92.4,2024,80.1,71.6,76.1,64.2,79.7,83,yes,-0.136876473,51.523217
Berkeley,North America,United States,10,"University of California, Berkeley (UCB)",US,XL,FC,VH,A,100,100,20.5,99.9,92.2,63.9,92.4,98.7,100,90.4,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-122.2620355,37.8701509
Chicago,North America,United States,11,University of Chicago,US,L,FC,VH,B,99.1,95.4,92.5,78.5,81.2,84.4,61.4,98.3,81.7,90.3,2024,80,58.8,69.9,87,74.1,119.9,yes,-88.06160667,41.8332617
Philadelphia,North America,United States,12,University of Pennsylvania,US,L,FC,VH,B,96.4,89.1,99.9,68.4,96,70.3,83.3,100,99.9,89.4,2024,76.6,44,61.2,80.5,68.1,113.8,yes,-75.19578862,39.95221877
Ithaca,North America,United States,13,Cornell University,US,L,FC,VH,B,98.1,90.5,52.9,99.1,68.7,64,79.9,98,94.7,89.3,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-76.47607762,42.45344917
Parkville,Oceania,Australia,14,The University of Melbourne,AU,XL,FC,VH,A,98.4,92.3,15.4,92.1,92.9,99.7,97.2,93.3,90.4,87.9,2024,72.8,36.6,55.6,73.9,66.9,93.6,no,144.9583991,-37.79834587
Pasadena,North America,United States,15,California Institute of Technology (Caltech),US,S,CO,VH,B,96.1,93.7,100,100,100,81,22.8,34.2,41.4,87.8,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-118.1278439,34.1376575
New Haven,North America,United States,16,Yale University,US,M,FC,VH,B,99.9,99.9,100,45.8,89.8,78.8,85.8,99.9,99.2,87.7,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-72.94581538,41.30285621
Beijing,Asia,China,17,Peking University,CN,XL,FC,VH,A,99.4,95.4,90.4,97.5,50.8,23.5,43.2,82.6,68.8,87,2024,37.1,26.4,32,37.8,23.9,82.2,yes,116.3012497,39.99149654
Princeton,North America,United States,17,Princeton University,US,M,CO,VH,B,99.8,97.5,64.5,100,16.7,57.5,52.5,94.6,79.3,87,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-74.75042552,40.34828406
Sydney,Oceania,Australia,19,The University of New South Wales (UNSW Sydney),AU,XL,FC,VH,A,89.7,88.1,18.2,95.9,100,99.1,99,95.5,99.6,86.7,2024,75.9,55.4,66.2,76.7,63.3,86.2,yes,151.2286926,-33.91734697
Sydney,Oceania,Australia,19,The University of Sydney,AU,XL,FC,VH,A,96,87.7,11.8,93.5,99.5,100,91.9,88.1,99.7,86.7,2024,75.9,55.4,66.2,76.7,63.3,86.2,yes,151.1841899,-33.888404
Toronto,North America,Canada,21,University of Toronto,CA,XL,FC,VH,A,99.7,96,54.2,57.2,95.7,96.4,95.5,96.4,99.9,86.3,2024,71.6,50,61.4,72.3,67.9,84.5,yes,-79.40580325,43.65845088
Edinburgh,Europe,United Kingdom,22,The University of Edinburgh,UK,XL,FC,VH,A,98.1,96.9,72.4,58.7,98.8,99.9,99.6,48.1,99.7,86.1,2024,69.7,38.8,55.1,64,70.6,85.3,yes,-3.191816223,55.94451577
New York City,North America,United States,23,Columbia University,US,XL,FC,VH,B,99.6,98.3,100,40.7,56.1,96.8,97.6,99.9,94.2,85.9,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-73.96514762,40.80753547
Paris,Europe,France,24,University PSL,FR,L,CO,VH,A,73.7,97,99.3,95.7,69.2,72.7,100,60.8,80.4,85.8,2024,75.4,42,59.5,78.7,70.1,81.4,yes,2.335018076,48.85464847
Beijing,Asia,China,25,Tsinghua University,CN,XL,FC,VH,A,99.1,96.9,93.9,98.9,9.4,15.7,47.8,82.2,55.8,84.9,2024,37.1,26.4,32,37.8,23.9,82.2,yes,116.323869,39.99966737
Singapore,Asia,Singapore,26,"Nanyang Technological University, Singapore (NTU)",SG,L,FC,VH,A,91,67.1,77.6,94.4,100,80.2,66.1,68.4,78.2,84.5,2024,81.9,71.9,77.1,75,55.3,103,yes,103.6805598,1.348309898
Hong Kong,Asia,Hong Kong (China),26,The University of Hong Kong,HK,L,FC,VH,A,97.6,51.4,82.9,82.3,100,99,42.7,99.5,97.3,84.5,2024,71.5,61.4,66.7,79.6,47,84.1,yes,114.1339872,22.28308907
Baltimore,North America,United States,28,Johns Hopkins University,US,L,FC,VH,B,87.3,59.7,100,89.4,64.4,91.4,98.1,74.5,84.6,84.5,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-76.6638669,39.33490609
Tokyo,Asia,Japan,28,The University of Tokyo,JP,L,FC,VH,A,100,99.8,90.4,70,10.3,29.2,70,99.8,99.7,84.3,2024,57.4,29.3,44.1,67,35.4,98.6,yes,139.7601623,35.71381507
Los Angeles,North America,United States,29,"University of California, Los Angeles (UCLA)",US,XL,FC,VH,A,100,99.8,36.6,84.8,43.4,24.8,89.8,97,91.2,83.8,2024,85.1,67.1,76.6,84.4,87.7,135.8,yes,-118.4464244,34.0699181
Montreal,North America,Canada,30,McGill University,CA,XL,FC,VH,A,93.7,87.6,64,62.1,88.9,93.3,86.2,92.5,94.2,83.7,2024,65.5,31.3,49.3,68.7,68.6,84.5,yes,-73.58128145,45.50755963
