city,region,country,rank display,institution,location code,size,focus,research,age band,status,ar score,er score,fsr score,cpf score,ifr score,isr score,irn score,ger score,score scaled,year,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,check_city,longitude,latitude
Basel,Europe,Switzerland,136,University of Basel,CH,M,FC,VH,5,A,28,26.8,53.8,95.7,100,84.1,90.1,52.7,53.3,2023,127,46,88.1,133.2,119.6,121,yes,7.581294276,47.55852807
Zurich,Europe,Switzerland,9,ETH Zurich - Swiss Federal Institute of Technology,CH,L,CO,VH,5,A,98.6,91.3,74.2,99.2,100,98,96.2,91.1,93.6,2023,120.8,61.8,92.5,116.8,119,122.9,yes,8.545053076,47.37638887
Zurich,Europe,Switzerland,83,University of Zurich,CH,L,FC,VH,5,A,58,39.2,93.3,49.3,100,55.5,93.5,77.8,63.7,2023,120.8,61.8,92.5,116.8,119,122.9,yes,8.546087976,47.37458957
Lausanne,Europe,Switzerland,16,EPFL,CH,M,FO,VH,5,A,83.7,71.8,91.1,99.4,100,100,87.3,28,89.2,2023,119.7,53.6,88,116.3,113,103.6,yes,6.564182676,46.51905567
Lausanne,Europe,Switzerland,203,University of Lausanne,CH,L,FO,VH,5,A,30.6,16.8,43.5,61,99.9,59.1,82,53.4,43,2023,119.7,53.6,88,116.3,113,103.6,yes,6.577585676,46.52108947
Bern,Europe,Switzerland,120,University of Bern,CH,M,FO,VH,5,A,30.3,35.5,64.9,98.3,100,41.9,95.3,18.4,55.7,2023,116.1,37.6,78.5,118.4,108.2,132.4,yes,7.435611476,46.95037147
Lugano,Europe,Switzerland,240,USI - Universita della Svizzera italiana,CH,S,FO,VH,3,A,5.3,4.6,85,47.2,100,100,38.5,61.7,39.2,2023,114.2,50.2,83.5,113.9,109.5,118.7,no,8.955580976,46.01070807
Santa Barbara,North America,United States,149,"University of California, Santa Barbara (UCSB)",US,L,CO,VH,5,A,55.9,24,10.6,97.2,57.8,28.4,78.4,15.6,50.9,2023,112.2,92.9,103,119.1,115.3,71,yes,-119.8515219,34.41396287
Geneva,Europe,Switzerland,125,University of Geneva,CH,L,FC,VH,5,A,46.5,20,44.8,74,100,96.7,92.8,45.9,54.5,2023,107.1,67.2,88,102.3,113.6,112.9,yes,6.142540776,46.19944397
Honolulu,North America,United States,380,University of Hawaii at Manoa,US,L,FC,VH,5,A,15.6,14.3,45.4,46.1,55.4,14.2,84.8,10.2,29.6,2023,102.7,61.6,83,113,81.9,83.1,yes,-157.8186604,21.30035718
Oslo,Europe,Norway,101,University of Oslo,NO,L,FC,VH,5,A,54.9,14.5,83.8,62.7,86.2,27.5,97.9,65.7,58.7,2023,93.5,38.8,67.3,85.5,98.2,95.2,yes,10.71895478,59.94049917
Seattle,North America,United States,80,University of Washington,US,XL,FC,VH,5,A,84.8,48.6,10.8,100,32.5,36,97.6,84.1,64.7,2023,92.9,68,81,89.5,94.6,126.2,yes,-122.3100328,47.65464067
Bergen,Europe,Norway,207,University of Bergen,NO,M,FC,VH,3,A,33.8,8.1,76,41.1,86.6,8,87.9,21.7,42.7,2023,90,30.9,61.7,86,86.4,86.1,yes,5.319179977,60.38785858
Trondheim,Europe,Norway,352,Norwegian University of Science And Technology,NO,XL,FC,VH,5,A,33.9,27,25.5,25.1,76.6,11.4,95.8,47.9,30.9,2023,86.7,30.9,59.9,79.5,92.5,113.6,yes,10.38606314,63.42426723
Tromso,Europe,Norway,454,University of Tromso The Arctic University of Norway,NO,L,FC,HI,4,A,12.4,3.9,73.2,9.3,71.2,8.5,77.1,22.9,26,2023,86.4,31.2,59.9,80.1,96.8,100,no,18.96864118,69.67980268
Singapore,Asia,Singapore,11,National University of Singapore (NUS),SG,XL,FC,VH,3,A,99.5,94.1,79.8,91.8,100,73.5,89.9,99.6,92.7,2023,85.9,85.3,85.6,74,58.4,95.6,yes,103.773819,1.296642598
Singapore,Asia,Singapore,19,"Nanyang Technological University, Singapore (NTU)",SG,L,FC,VH,3,A,90.4,76.1,83.2,94.1,100,74.1,89.6,84.6,88.4,2023,85.9,85.3,85.6,74,58.4,95.6,yes,103.6805598,1.348309898
Odense,Europe,Denmark,347,University of Southern Denmark (SDU),DK,L,CO,VH,4,A,19.3,20.6,35.2,44.5,82.4,22.7,82.5,21.1,31.1,2023,85,26.8,57.1,73.8,102.4,88.5,yes,10.35451909,55.37745892
Boston,North America,United States,108,Boston University,US,L,FC,VH,5,B,62.3,57.2,40.4,61.6,33.7,83.3,86.9,80.5,57.2,2023,84.6,75.7,80.3,83.1,86.2,111.1,yes,-71.10797402,42.35049967
Boston,North America,United States,388,Northeastern University,US,L,CO,VH,5,B,20.5,12.5,17.8,37.1,76,95.8,75.6,46.2,29.2,2023,84.6,75.7,80.3,83.1,86.2,111.1,yes,-71.09246412,42.33990397
Irvine,North America,United States,235,"University of California, Irvine",US,XL,FC,VH,4,A,39.7,18.4,12.9,59.9,72,69.1,85.8,11.6,39.5,2023,84,72.7,78.6,75.6,88.9,129.4,yes,-117.8583561,33.65339812
San Diego,North America,United States,53,"University of California, San Diego (UCSD)",US,XL,FC,VH,4,A,90,61.6,55.6,77,54.9,53.7,96.9,21.2,74.5,2023,82.9,76.2,79.7,77.6,83.6,118.3,yes,-117.2369354,32.88116797
Brisbane,Oceania,Australia,222,Queensland University of Technology (QUT),AU,XL,CO,VH,3,A,39.5,40,7.7,65.1,97.5,41.4,90,22.1,41.5,2023,82.5,41.5,62.8,77.7,72.9,100,yes,153.02447,-27.477313
Copenhagen,Europe,Denmark,82,University of Copenhagen,DK,XL,FC,VH,5,A,72.8,36.6,100,26,91.3,24.5,99.1,58.2,64.1,2023,82.3,45.8,64.8,63.6,98.3,97,yes,12.56983468,55.68023027
Nashville,North America,United States,199,Vanderbilt University,US,L,FC,VH,5,B,25.9,22.2,100,38.5,38.7,30,83,56.1,43.9,2023,81.9,59.5,71.2,85.1,72.8,114,yes,-86.80523002,36.14470337
Miami,North America,United States,296,University of Miami,US,L,FC,VH,4,B,22.7,32.1,70.8,20.8,66.9,25.3,81.7,50.3,35.4,2023,81.9,71.9,77.1,80.2,88.6,89.2,yes,-80.28070112,25.71739468
Denver,North America,United States,428,"University of Colorado, Denver ",US,L,FC,VH,5,A,7.9,8.2,100,11.6,4,10,75.4,4.6,27.1,2023,81.7,55.2,69,79.4,73.6,138.3,yes,-105.0049169,39.7463595
Sydney,Oceania,Australia,41,The University of Sydney,AU,XL,FC,VH,5,A,96.2,91.7,15.6,92.1,99.3,100,97.3,90.8,79.6,2023,81.5,53.2,67.9,73.9,75.1,110.6,yes,151.1841899,-33.888404
Sydney,Oceania,Australia,45,The University of New South Wales (UNSW Sydney),AU,XL,FC,VH,4,A,89,91.1,16.8,97.6,100,99.8,98.2,93,78,2023,81.5,53.2,67.9,73.9,75.1,110.6,yes,151.2286926,-33.91734697
Sydney,Oceania,Australia,195,Macquarie University,AU,L,FC,VH,4,A,30.9,48.9,13.6,74.6,93,88.9,88.3,53.9,44.2,2023,81.5,53.2,67.9,73.9,75.1,110.6,yes,151.1100749,-33.7738236
Canberra,Oceania,Australia,30,The Australian National University,AU,L,FC,VH,4,A,93.6,70.1,38,99.3,100,96,94.6,59.1,82.1,2023,81.3,46.9,64.8,79.4,75.5,101,yes,149.1157489,-35.2812532
Adelaide,Oceania,Australia,109,The University of Adelaide,AU,L,FC,VH,5,A,52.3,35.2,17.2,94.5,99.8,99.8,93.1,40.2,57,2023,81.1,39.6,61.2,80.2,70.4,90.3,yes,138.6036528,-34.92060297
Adelaide,Oceania,Australia,425,Flinders University,AU,L,FC,VH,4,A,12.1,7,6.3,53.5,97.7,93.8,83.7,14.7,27.2,2023,81.1,39.6,61.2,80.2,70.4,90.3,yes,138.5673813,-35.0253002
Aarhus,Europe,Denmark,161,Aarhus University,DK,L,FC,VH,4,A,55.6,33.5,32.4,55.2,87.9,16.3,95.4,33.5,48.6,2023,80.7,31,56.9,63,93.3,101.4,yes,10.17886368,56.15470148
New Orleans,North America,United States,471,Tulane University,US,L,FC,HI,5,B,9.5,4.2,86.7,11.4,13.7,10.9,74.9,44.1,25.2,2023,80.5,45.1,63.5,79.5,79.3,95.8,yes,-90.13781289,29.94372929
Perth,Oceania,Australia,90,The University of Western Australia,AU,L,FC,VH,5,A,55.6,49.9,21.8,98.9,100,99.9,98.2,65,61.7,2023,80.4,39.4,60.8,73.3,76.8,99.7,yes,115.7825378,-31.9831404
Perth,Oceania,Australia,193,Curtin University,AU,L,CO,VH,3,A,30.5,41.2,13.9,89.4,100,44,93.7,20.1,44.4,2023,80.4,39.4,60.8,73.3,76.8,99.7,yes,36.04925965,-2.22972849
Raleigh,North America,United States,312,North Carolina State University,US,XL,CO,VH,5,A,29.2,23,11.3,68.3,63.7,16,79,31.3,34.1,2023,80.1,59.6,70.2,73.8,80.4,110.1,yes,-78.68385732,35.78507437
Philadelphia,North America,United States,13,University of Pennsylvania,US,L,FC,VH,5,B,96.5,92.5,99.9,70.9,96.2,66.1,93.3,100,90.6,2023,79.3,49.2,64.9,79.5,76.9,127.6,yes,-75.19578862,39.95221877
Chicago,North America,United States,10,University of Chicago,US,L,FC,VH,5,B,99.2,92.2,92.9,86.8,81.6,76,89.6,98.2,93.2,2023,79,58.4,69.1,75.5,82.1,121.3,yes,-88.06160667,41.8332617
Chicago,North America,United States,317,University of Illinois at Chicago (UIC),US,L,FC,VH,5,A,42,31.9,35.6,26.4,10.1,15.4,89.8,41.6,33.8,2023,79,58.4,69.1,75.5,82.1,121.3,yes,-87.65077487,41.87029607
Chicago,North America,United States,443,Illinois Institute of Technology,US,M,CO,VH,5,B,14.8,8.2,14.7,52.9,23.7,95,31.3,22.8,26.3,2023,79,58.4,69.1,75.5,82.1,121.3,yes,-87.65517432,41.85701771
